Syntax,Description,L1_Language,L2_Category,Priority,Example,Note
CREATE TABLE t (...),Create new table,SQL,I/O,Core,CREATE TABLE users (id INT; name VARCHAR(100)),Define constraints and data types upfront
CREATE TABLE t AS SELECT ...,Create table from query (CTAS),SQL,I/O,Core,CREATE TABLE summary AS SELECT * FROM source,Fast way to materialize query results
CREATE VIEW v AS SELECT ...,Create view from query,SQL,I/O,Core,CREATE VIEW active_users AS SELECT * FROM users,Reusable query; no data stored
ALTER TABLE t ADD COLUMN,Add column to table,SQL,I/O,Advanced,ALTER TABLE users ADD COLUMN email VARCHAR(255),Consider nullable for existing data
DROP TABLE t,Delete table,SQL,I/O,Core,DROP TABLE temp_data,Use IF EXISTS to avoid errors
INSERT INTO t VALUES (...),Insert single row,SQL,I/O,Core,INSERT INTO users (id; name) VALUES (1; 'John'),Always specify column names explicitly
INSERT INTO t SELECT ...,Insert from query,SQL,I/O,Core,INSERT INTO archive SELECT * FROM orders WHERE year < 2024,Efficient for bulk inserts
UPDATE t SET col = val WHERE ...,Update existing rows,SQL,I/O,Core,UPDATE users SET status = 'inactive' WHERE last_login < '2024-01-01',Always include WHERE to avoid updating all rows
DELETE FROM t WHERE ...,Delete rows matching condition,SQL,I/O,Core,DELETE FROM logs WHERE created_at < '2024-01-01',Always include WHERE; consider TRUNCATE for full delete
MERGE INTO tgt USING src ON ...,Upsert pattern,SQL,I/O,Core-N,MERGE INTO dim USING stg ON dim.id = stg.id,Standard pattern for SCD and incremental loads
BEGIN / COMMIT / ROLLBACK,Transaction control,SQL,Control Flow,Core-N,BEGIN; UPDATE ...; COMMIT;,Wrap related changes for atomicity
EXPLAIN SELECT ...,Show query execution plan,SQL,I/O,Advanced,EXPLAIN SELECT * FROM orders,Use to optimize slow queries
let x = 10,Block-scoped mutable variable,JAVASCRIPT,Variables,Core,let count = 0,Use for values that will be reassigned
const y = 20,Block-scoped immutable reference,JAVASCRIPT,Variables,Core,const API_URL = "https://api.example.com",Default choice; prefer const over let
var z = 30,Function-scoped variable (legacy),JAVASCRIPT,Variables,Advanced,var oldStyle = true,Avoid in modern code; use let/const
const [a; b] = arr,Array destructuring,JAVASCRIPT,Variables,Core,const [first; second] = [1; 2],Clean way to extract array elements
const { name; age } = obj,Object destructuring,JAVASCRIPT,Variables,Core,const { id; name } = user,Essential for working with API responses
...arr / ...obj,Spread operator for arrays/objects,JAVASCRIPT,Operators,Core,const merged = [...arr1; ...arr2],Creates shallow copy; use for immutable updates
() => {},Arrow function expression,JAVASCRIPT,Functions,Core,const add = (a; b) => a + b,Lexical this binding; concise syntax
function name() {},Function declaration,JAVASCRIPT,Functions,Core,function greet(name) { return `Hello ${name}`; },Hoisted; use for named functions
async function / await,Async function and await,JAVASCRIPT,Functions,Core,async function fetchData() { const data = await fetch(url); },Modern async pattern; cleaner than .then chains
.map(),Transform array elements,JAVASCRIPT,Collections,Core,arr.map(x => x * 2),Returns new array; original unchanged
.filter(),Filter array by condition,JAVASCRIPT,Collections,Core,arr.filter(x => x > 0),Returns new array with matching elements
.reduce(),Reduce array to single value,JAVASCRIPT,Collections,Core,arr.reduce((acc; x) => acc + x; 0),Powerful but consider alternatives for readability
.find() / .findIndex(),Find element/index by condition,JAVASCRIPT,Collections,Core,arr.find(x => x.id === 1),Returns first match or undefined/-1
.some() / .every(),Test if some/all match condition,JAVASCRIPT,Collections,Core,arr.some(x => x > 10),Short-circuits; efficient for validation
.forEach(),Iterate array (no return),JAVASCRIPT,Collections,Core,arr.forEach(x => console.log(x)),Cannot break; use for loop if needed
.includes(),Check if array contains value,JAVASCRIPT,Collections,Core,arr.includes(5),O(n) lookup; use Set for frequent checks
.push() / .pop(),Add/remove from end of array,JAVASCRIPT,Collections,Core,arr.push(item),Mutates array; returns new length/removed item
.slice(),Extract portion of array (immutable),JAVASCRIPT,Collections,Core,arr.slice(1; 3),Non-mutating; use for copying arrays
.splice(),Add/remove elements (mutates),JAVASCRIPT,Collections,Advanced,arr.splice(1; 2; newItem),Mutates in place; returns removed elements
Object.keys() / Object.values(),Get array of keys/values,JAVASCRIPT,Collections,Core,Object.keys(obj),Iterate object properties as arrays
Object.entries(),Get array of [key; value] pairs,JAVASCRIPT,Collections,Core,Object.entries(obj),Great for iterating objects
Object.assign(),Copy properties to target,JAVASCRIPT,Collections,Core,Object.assign({}; obj1; obj2),Shallow copy; use spread for cleaner syntax
?.  (optional chaining),Safe property access,JAVASCRIPT,Operators,Core,user?.address?.street,Prevents TypeError on null/undefined
?? (nullish coalescing),Default for null/undefined only,JAVASCRIPT,Operators,Core,value ?? defaultValue,Unlike || handles 0 and empty string correctly
|| (logical OR),Default for any falsy value,JAVASCRIPT,Operators,Core,value || defaultValue,Treats 0 '' false as falsy; use ?? instead
`template ${var}`,Template literal string,JAVASCRIPT,Strings,Core,`Hello ${name}`,Supports multi-line and expressions
typeof value,Check primitive type,JAVASCRIPT,Data Types,Core,typeof x === "string",Returns string; null returns 'object' (quirk)
instanceof Constructor,Check if instance of class,JAVASCRIPT,Data Types,Core,obj instanceof Array,Works across inheritance chain
Array.isArray(),Check if value is array,JAVASCRIPT,Data Types,Core,Array.isArray(value),More reliable than instanceof for arrays
class ClassName {},Class declaration,JAVASCRIPT,OOP,Core,class Person { constructor(name) { this.name = name; } },Syntactic sugar over prototypes
extends / super,Class inheritance,JAVASCRIPT,OOP,Core,class Employee extends Person { constructor(name) { super(name); } },super() must be called before this
new Promise((resolve; reject) => {}),Create Promise,JAVASCRIPT,Functions,Core,new Promise((resolve; reject) => { resolve(data); }),Wrap callbacks in promises for async/await
.then() / .catch() / .finally(),Promise chaining,JAVASCRIPT,Functions,Core,fetch(url).then(r => r.json()).catch(err => console.error(err)),Always include error handling
Promise.all(),Wait for all promises,JAVASCRIPT,Functions,Core,Promise.all([p1; p2]),Fails fast on first rejection
try {} catch (e) {} finally {},Error handling block,JAVASCRIPT,Error Handling,Core,try { risky(); } catch (e) { console.error(e); },finally runs regardless of outcome
throw new Error(),Throw an error,JAVASCRIPT,Error Handling,Core,throw new Error("Something went wrong"),Include descriptive error message
import { x } from "module",Named import (ES6),JAVASCRIPT,I/O,Core,import { Component } from "@angular/core",Tree-shakeable; import only what you need
import x from "module",Default import (ES6),JAVASCRIPT,I/O,Core,import React from "react",One default export per module
export { x } / export default,Module exports (ES6),JAVASCRIPT,I/O,Core,export default class App {},Prefer named exports for refactoring
JSON.stringify() / JSON.parse(),JSON serialization,JAVASCRIPT,I/O,Core,JSON.parse(jsonString),Parse can throw on invalid JSON; wrap in try
fetch(url; options),HTTP request API,JAVASCRIPT,I/O,Core,fetch(url; { method: "POST"; body: JSON.stringify(data) }),Check response.ok; doesn't reject on 404/500
console.log(),Output to console,JAVASCRIPT,I/O,Core,console.log("Debug:"; value),Remove or use proper logging in production
if / else if / else,Conditional branching,JAVASCRIPT,Control Flow,Core,if (x > 0) { } else { },Always use braces for clarity
condition ? a : b,Ternary operator,JAVASCRIPT,Control Flow,Core,const result = x > 0 ? "positive" : "negative",Use for simple conditionals only
for (let i = 0; i < n; i++),Classic for loop,JAVASCRIPT,Control Flow,Core,for (let i = 0; i < arr.length; i++) {},Use for index-based access or break/continue
for (const item of arr),For-of loop (arrays),JAVASCRIPT,Control Flow,Core,for (const item of items) {},Cleaner than forEach; supports break
for (const key in obj),For-in loop (object keys),JAVASCRIPT,Control Flow,Core,for (const key in obj) {},Includes inherited properties; use Object.keys instead
switch (value) { case: },Switch statement,JAVASCRIPT,Control Flow,Core,switch (status) { case "active": break; },Include default case; don't forget break
@Component({}),Component decorator,ANGULAR,OOP,Core,@Component({ selector: "app-user"; template: "" }),Use standalone: true for modern Angular
@Input(),Input property binding,ANGULAR,OOP,Core,@Input() user!: User,Use required: true for mandatory inputs
@Output(),Output event emitter,ANGULAR,OOP,Core,@Output() selected = new EventEmitter<number>(),Follow (eventName) convention
@Injectable({ providedIn: "root" }),Service decorator,ANGULAR,OOP,Core,@Injectable({ providedIn: "root" }) export class UserService {},Singleton by default with providedIn: root
constructor(private svc: Service),Dependency injection,ANGULAR,OOP,Core,constructor(private userService: UserService) {},Modern: use inject() function instead
ngOnInit(),Lifecycle hook - init,ANGULAR,Functions,Core,ngOnInit(): void { this.loadData(); },Use for data fetching after inputs set
ngOnDestroy(),Lifecycle hook - cleanup,ANGULAR,Functions,Core,ngOnDestroy(): void { this.subscription.unsubscribe(); },Always clean up subscriptions
*ngIf,Structural directive - conditional,ANGULAR,Control Flow,Core,<div *ngIf="isVisible">Content</div>,Use @if in Angular 17+ control flow
*ngFor,Structural directive - loop,ANGULAR,Control Flow,Core,<div *ngFor="let item of items">{{ item.name }}</div>,Use trackBy for performance
[ngClass] / [ngStyle],Attribute directives - styling,ANGULAR,Control Flow,Core,[ngClass]="{ 'active': isActive }",Prefer class binding for single classes
{{ expression }},Interpolation binding,ANGULAR,I/O,Core,{{ user.name }},One-way from component to template
[property]="value",Property binding,ANGULAR,I/O,Core,[disabled]="isDisabled",Use for dynamic attribute values
(event)="handler()",Event binding,ANGULAR,I/O,Core,(click)="onClick()",Access event with $event parameter
[(ngModel)]="value",Two-way binding,ANGULAR,I/O,Core,<input [(ngModel)]="name">,"Requires FormsModule; ""banana in a box"" syntax"
this.fb.group({}),Create FormGroup,ANGULAR,Functions,Core,this.fb.group({ name: [""]; email: [""] }),Use nonNullable: true for strict forms
formControlName="x",Bind form control,ANGULAR,I/O,Core,<input formControlName="name">,Must be inside [formGroup] directive
Validators.required,Form validation,ANGULAR,Functions,Core,Validators.required; Validators.email,Compose multiple validators in array
this.http.get<T>(),HTTP GET request,ANGULAR,I/O,Core,this.http.get<User[]>("/api/users"),Returns Observable; must subscribe or use async pipe
this.http.post<T>(),HTTP POST request,ANGULAR,I/O,Core,this.http.post<User>("/api/users"; userData),Include error handling with catchError
.pipe(),RxJS pipe operator,ANGULAR,Functions,Core,obs$.pipe(map(x => x * 2); catchError(err => of(null))),Chain operators for transformations
.subscribe(),Subscribe to Observable,ANGULAR,Functions,Core,this.data$.subscribe(data => this.items = data),Prefer async pipe in templates
map() / filter() (RxJS),RxJS transformation operators,ANGULAR,Functions,Core,pipe(map(x => x.name); filter(x => x.active)),Import from 'rxjs/operators'
switchMap() / mergeMap(),RxJS flattening operators,ANGULAR,Functions,Core-N,pipe(switchMap(id => this.getUser(id))),switchMap cancels previous; mergeMap runs concurrent
catchError(),RxJS error handling,ANGULAR,Error Handling,Core,pipe(catchError(err => of([]))),Return fallback Observable; rethrow to propagate
takeUntil(),RxJS auto-unsubscribe pattern,ANGULAR,Functions,Core-N,pipe(takeUntil(this.destroy$)),Emit in ngOnDestroy to clean up subscriptions
BehaviorSubject<T>(),RxJS stateful subject,ANGULAR,Functions,Core-N,private data$ = new BehaviorSubject<User[]>([]),Has initial value; new subscribers get current value
| async,Async pipe for Observables,ANGULAR,I/O,Core,<div>{{ data$ | async }}</div>,Auto-subscribes and unsubscribes; cleanest pattern
| date / | currency / | uppercase,Built-in pipes,ANGULAR,I/O,Core,{{ price | currency:"USD" }},Pure pipes cached; impure recalculate on change
router.navigate([]),Programmatic navigation,ANGULAR,Functions,Core,this.router.navigate(["/users"; id]),Use queryParams option for query parameters
route.snapshot.paramMap.get(),Get route parameter,ANGULAR,Functions,Core,this.route.snapshot.paramMap.get("id"),Use paramMap Observable for reactive updates
import pandas as pd,Import pandas library,PANDAS,I/O,Core,import pandas as pd,Standard import alias; use pd consistently
pd.DataFrame(),Create DataFrame from dict/list,PANDAS,I/O,Core,pd.DataFrame({"col1": [1;2]; "col2": [3;4]}),Dict keys become column names
pd.read_csv(),Read CSV file to DataFrame,PANDAS,I/O,Core,df = pd.read_csv("file.csv"),Use dtype param to specify column types upfront
pd.read_parquet(),Read Parquet file to DataFrame,PANDAS,I/O,Core,df = pd.read_parquet("file.parquet"),Faster and smaller than CSV; preserves types
pd.read_excel(),Read Excel file to DataFrame,PANDAS,I/O,Core,df = pd.read_excel("file.xlsx"; sheet_name="Sheet1"),Requires openpyxl for xlsx files
pd.read_json(),Read JSON file to DataFrame,PANDAS,I/O,Core,df = pd.read_json("file.json"),Use orient param for different JSON structures
df.to_csv(),Write DataFrame to CSV,PANDAS,I/O,Core,df.to_csv("output.csv"; index=False),Set index=False to avoid extra index column
df.to_parquet(),Write DataFrame to Parquet,PANDAS,I/O,Core,df.to_parquet("output.parquet"),Preferred for data pipelines; use pyarrow engine
df.to_excel(),Write DataFrame to Excel,PANDAS,I/O,Core,df.to_excel("output.xlsx"; index=False),Use ExcelWriter for multiple sheets
df.head() / df.tail(),View first/last n rows,PANDAS,I/O,Core,df.head(10),First check after loading data
df.info(),Show DataFrame info and dtypes,PANDAS,I/O,Core,df.info(),Shows memory usage and null counts
df.describe(),Summary statistics,PANDAS,I/O,Core,df.describe(),Use include='all' for non-numeric columns
df.shape,Get (rows; columns) tuple,PANDAS,I/O,Core,rows; cols = df.shape,Quick row/column count
df.columns,Get column names,PANDAS,I/O,Core,df.columns.tolist(),Index object; convert to list for modification
df.dtypes,Get column data types,PANDAS,Data Types,Core,df.dtypes,Check for unexpected types after loading
df["col"],Select single column (Series),PANDAS,Columns,Core,df["name"],Returns Series not DataFrame
df[["col1"; "col2"]],Select multiple columns,PANDAS,Columns,Core,df[["name"; "age"]],Double brackets return DataFrame
df.loc[],Label-based selection,PANDAS,Columns,Core,df.loc[0:5; ["name"; "age"]],Inclusive of end label; use for named access
df.iloc[],Integer-based selection,PANDAS,Columns,Core,df.iloc[0:5; 0:2],Exclusive of end index; use for position-based
df[df["col"] > 0],Boolean filtering,PANDAS,Control Flow,Core,df[df["age"] > 18],Creates boolean mask then filters
df.query(),Query string filtering,PANDAS,Control Flow,Core,df.query("age > 18 and status == 'active'"),Cleaner for complex conditions; use @ for variables
df[(cond1) & (cond2)],Multiple conditions (AND),PANDAS,Control Flow,Core,df[(df["age"] > 18) & (df["status"] == "active")],Parentheses required around each condition
df[(cond1) | (cond2)],Multiple conditions (OR),PANDAS,Control Flow,Core,df[(df["age"] < 18) | (df["age"] > 65)],Use | for OR; & for AND; ~ for NOT
df.isin(),Filter by list of values,PANDAS,Control Flow,Core,df[df["status"].isin(["active"; "pending"])],Efficient for membership testing
df["col"] = value,Assign column values,PANDAS,Columns,Core,df["new_col"] = df["a"] + df["b"],Creates or overwrites column in place
df.assign(),Create new columns (returns copy),PANDAS,Columns,Core,df.assign(total=df["a"] + df["b"]),Returns new DataFrame; chainable
df.drop(),Drop rows or columns,PANDAS,Columns,Core,df.drop(columns=["col1"; "col2"]),Use axis=1 or columns= for column drops
df.rename(),Rename columns,PANDAS,Columns,Core,df.rename(columns={"old": "new"}),Preserves data; just changes column names
df.astype(),Convert column data type,PANDAS,Data Types,Core,df["id"].astype(str),Can fail on invalid values; handle errors
pd.to_datetime(),Convert to datetime,PANDAS,Data Types,Core,df["date"] = pd.to_datetime(df["date_str"]),Use format= for specific date formats
pd.to_numeric(),Convert to numeric,PANDAS,Data Types,Core,df["num"] = pd.to_numeric(df["val"]; errors="coerce"),errors='coerce' converts bad values to NaN
df.apply(),Apply function to rows/columns,PANDAS,Functions,Core,df["col"].apply(lambda x: x.upper()),Slow; prefer vectorized operations when possible
df.map(),Element-wise mapping,PANDAS,Functions,Core,df["col"].map({"a": 1; "b": 2}),Great for value replacement; unmapped become NaN
df.groupby().agg(),Group and aggregate,PANDAS,Functions,Core,df.groupby("key").agg({"val": "sum"; "cnt": "count"}),Pass dict for multiple aggregations
df.groupby().transform(),Transform within groups,PANDAS,Functions,Advanced,df.groupby("key")["val"].transform("mean"),Returns same-sized result; use for window calcs
df.value_counts(),Count unique values,PANDAS,Functions,Core,df["status"].value_counts(),Returns Series sorted by frequency
df.nunique(),Count unique values per column,PANDAS,Functions,Core,df.nunique(),Quick cardinality check
df.duplicated(),Find duplicate rows,PANDAS,Functions,Core,df[df.duplicated(subset=["id"])],Use keep='first'/'last'/False
df.drop_duplicates(),Remove duplicate rows,PANDAS,Functions,Core,df.drop_duplicates(subset=["id"]; keep="first"),Specify key columns for dedup logic
pd.merge(),Merge/join DataFrames,PANDAS,Functions,Core,pd.merge(df1; df2; on="id"; how="left"),SQL-like joins; check for unexpected row counts
df.merge(),Merge as method,PANDAS,Functions,Core,df1.merge(df2; on="id"; how="inner"),Same as pd.merge but as method
pd.concat(),Concatenate DataFrames,PANDAS,Functions,Core,pd.concat([df1; df2]; ignore_index=True),Use ignore_index=True to reset row numbers
df.join(),Join on index,PANDAS,Functions,Advanced,df1.join(df2; how="left"),Use merge() for more explicit column joins
df.fillna(),Fill missing values,PANDAS,Error Handling,Core,df["col"].fillna(0),Use method='ffill' for forward fill
df.dropna(),Drop rows with missing values,PANDAS,Error Handling,Core,df.dropna(subset=["id"; "date"]),Use subset to only check critical columns
df.isna() / df.notna(),Check for missing values,PANDAS,Error Handling,Core,df[df["col"].isna()],Returns boolean mask for filtering
df.replace(),Replace values,PANDAS,Error Handling,Core,df.replace({"": None; "NA": None}),Standardize bad values before processing
df.sort_values(),Sort by column values,PANDAS,Control Flow,Core,df.sort_values(by=["date"; "id"]; ascending=[False; True]),Multiple columns; multiple sort orders
df.sort_index(),Sort by index,PANDAS,Control Flow,Core,df.sort_index(),Use after set_index for ordered data
df.reset_index(),Reset index to default,PANDAS,Columns,Core,df.reset_index(drop=True),drop=True discards old index
df.set_index(),Set column as index,PANDAS,Columns,Core,df.set_index("id"),Enables faster lookup and join on index
df.str.lower() / .upper(),String case conversion,PANDAS,Strings,Core,df["name"].str.lower(),Access string methods via .str accessor
df.str.strip(),Trim whitespace,PANDAS,Strings,Core,df["name"].str.strip(),Essential for data cleaning
df.str.replace(),String replacement,PANDAS,Strings,Core,df["col"].str.replace("old"; "new"; regex=False),Set regex=False for literal replacement
df.str.contains(),String pattern matching,PANDAS,Strings,Core,df[df["name"].str.contains("smith"; case=False)],Returns boolean Series for filtering
df.str.split(),Split string to list,PANDAS,Strings,Core,df["name"].str.split(" "),Returns lists; use expand=True for columns
df.str.extract(),Regex extraction,PANDAS,Strings,Advanced,df["col"].str.extract(r"(\d+)"),Use capture groups; returns DataFrame
df.dt.year / .month / .day,Extract date components,PANDAS,Data Types,Core,df["date"].dt.year,Access datetime properties via .dt accessor
df.dt.date,Extract date from datetime,PANDAS,Data Types,Core,df["datetime"].dt.date,Strips time component
pd.Timedelta(),Create time delta,PANDAS,Data Types,Core,df["date"] + pd.Timedelta(days=7),Use for date arithmetic
df.pivot_table(),Create pivot table,PANDAS,Functions,Core,df.pivot_table(values="amt"; index="date"; columns="cat"; aggfunc="sum"),Excel-like pivot; specify fill_value for nulls
df.melt(),Unpivot wide to long format,PANDAS,Functions,Advanced,df.melt(id_vars=["id"]; value_vars=["a"; "b"]),Inverse of pivot; normalizes data
df.copy(),Create deep copy of DataFrame,PANDAS,Functions,Core,df_copy = df.copy(),Avoid SettingWithCopyWarning; explicit copy
Promise.race(),First promise to settle wins,JAVASCRIPT,Functions,Core,Promise.race([timeout; fetchData]),Use for timeout patterns
Promise.allSettled(),Wait for all with status,JAVASCRIPT,Functions,Core,Promise.allSettled([p1; p2]).then(results => {}),Never rejects; check each result status
Promise.any(),First fulfilled promise wins,JAVASCRIPT,Functions,Advanced,Promise.any([api1; api2; api3]),Ignores rejections until all fail
async () => {},Async arrow function,JAVASCRIPT,Functions,Core,const getData = async () => { return await fetch(url); },Always returns Promise
for await (const x of iterable),Async iteration,JAVASCRIPT,Control Flow,Advanced,for await (const chunk of stream) {},Use for streaming APIs
setTimeout(),Delay execution once,JAVASCRIPT,Functions,Core,setTimeout(() => callback(); 1000),Returns ID for clearTimeout
setInterval() / clearInterval(),Repeated execution,JAVASCRIPT,Functions,Core,const id = setInterval(poll; 5000); clearInterval(id),Always clear to prevent memory leaks
requestAnimationFrame(),Animation frame timing,JAVASCRIPT,Functions,Advanced,requestAnimationFrame(animate),60fps; pauses when tab inactive
AbortController,Cancellable fetch requests,JAVASCRIPT,Functions,Core,const ctrl = new AbortController(); fetch(url; { signal: ctrl.signal }),Essential for request cleanup and race conditions
new Map(),Key-value with any key type,JAVASCRIPT,Collections,Core,const map = new Map([[key; value]]),Objects as keys; maintains insertion order
map.get() / map.set() / map.has(),Map operations,JAVASCRIPT,Collections,Core,map.set(obj; data); map.get(obj),O(1) operations like object but better
new Set(),Unique value collection,JAVASCRIPT,Collections,Core,const unique = new Set(arr),O(1) lookup; great for deduplication
set.add() / set.has() / set.delete(),Set operations,JAVASCRIPT,Collections,Core,set.add(value); set.has(value),Returns boolean for has(); this for add()
new WeakMap() / new WeakSet(),Weak references for GC,JAVASCRIPT,Collections,Advanced,const cache = new WeakMap(),Keys can be garbage collected; no iteration
Array.from(),Create array from iterable,JAVASCRIPT,Collections,Core,Array.from(nodeList),Also accepts mapFn as second arg
Array.flat() / Array.flatMap(),Flatten nested arrays,JAVASCRIPT,Collections,Core,arr.flat(2); arr.flatMap(x => [x; x*2]),Use Infinity to flatten all levels
.at(),Negative index access,JAVASCRIPT,Collections,Core,arr.at(-1),Clean way to get last element
.sort(),Sort array in place,JAVASCRIPT,Collections,Core,arr.sort((a; b) => a - b),Mutates original; compare function for numbers
.reverse(),Reverse array in place,JAVASCRIPT,Collections,Core,arr.reverse(),Mutates original; use toReversed() for copy
.join(),Join array to string,JAVASCRIPT,Collections,Core,arr.join("; "),Default separator is comma
.concat(),Merge arrays (immutable),JAVASCRIPT,Collections,Core,arr1.concat(arr2),Returns new array; prefer spread operator
.fill(),Fill array with value,JAVASCRIPT,Collections,Core,new Array(5).fill(0),All elements reference same object for objects
Object.freeze(),Make object immutable,JAVASCRIPT,Collections,Core,Object.freeze(config),Shallow freeze only; nested objects still mutable
Object.hasOwn(),Check own property,JAVASCRIPT,Collections,Core,Object.hasOwn(obj; "key"),Safer than hasOwnProperty; use for maps
structuredClone(),Deep copy objects,JAVASCRIPT,Collections,Core,const copy = structuredClone(obj),Handles circular refs; native deep clone
.startsWith() / .endsWith(),String prefix/suffix check,JAVASCRIPT,Strings,Core,str.startsWith("http"),Cleaner than regex for simple checks
.padStart() / .padEnd(),Pad string to length,JAVASCRIPT,Strings,Core,id.padStart(6; "0"),Great for formatting numbers and IDs
.trim() / .trimStart() / .trimEnd(),Remove whitespace,JAVASCRIPT,Strings,Core,input.trim(),Always trim user input
.replaceAll(),Replace all occurrences,JAVASCRIPT,Strings,Core,str.replaceAll("old"; "new"),Cleaner than regex global flag
.split(),Split string to array,JAVASCRIPT,Strings,Core,str.split(","),Empty string splits into characters
.match() / .matchAll(),Regex matching,JAVASCRIPT,Strings,Core,str.match(/\d+/g),matchAll requires global flag; returns iterator
new RegExp(),Dynamic regex creation,JAVASCRIPT,Strings,Advanced,new RegExp(pattern; "gi"),Use when pattern is a variable; escape special chars
new URL() / URLSearchParams,URL parsing and params,JAVASCRIPT,I/O,Core,new URL(href).searchParams.get("id"),Safe URL manipulation; handles encoding
localStorage / sessionStorage,Browser storage APIs,JAVASCRIPT,I/O,Core,localStorage.setItem("key"; JSON.stringify(data)),5MB limit; strings only; JSON.stringify objects
addEventListener(),Attach event listener,JAVASCRIPT,I/O,Core,el.addEventListener("click"; handler),Use options { once: true } for single use
removeEventListener(),Remove event listener,JAVASCRIPT,I/O,Core,el.removeEventListener("click"; handler),Handler must be same reference
document.querySelector(),Select first matching element,JAVASCRIPT,I/O,Core,document.querySelector(".class"),CSS selector syntax; null if not found
document.querySelectorAll(),Select all matching elements,JAVASCRIPT,I/O,Core,document.querySelectorAll("li"),Returns NodeList; use Array.from to convert
document.createElement(),Create DOM element,JAVASCRIPT,I/O,Core,const div = document.createElement("div"),Set properties before appending to DOM
element.classList.add/remove/toggle,Manage CSS classes,JAVASCRIPT,I/O,Core,el.classList.toggle("active"),toggle returns boolean; accepts multiple classes
new Date(),Create date object,JAVASCRIPT,Data Types,Core,new Date(); new Date("2024-01-01"),Avoid string parsing; use explicit year/month/day
Date.now(),Current timestamp ms,JAVASCRIPT,Data Types,Core,const timestamp = Date.now(),More efficient than new Date().getTime()
.toISOString() / .toLocaleDateString(),Date formatting,JAVASCRIPT,Data Types,Core,date.toISOString(),ISO for APIs; locale for display
Math.floor() / Math.ceil() / Math.round(),Rounding functions,JAVASCRIPT,Functions,Core,Math.round(3.5),floor down; ceil up; round nearest
Math.max() / Math.min(),Find max/min values,JAVASCRIPT,Functions,Core,Math.max(...arr),Use spread for arrays; returns -Infinity if empty
Math.random(),Random 0-1 value,JAVASCRIPT,Functions,Core,Math.floor(Math.random() * 100),Not cryptographically secure; use crypto API
Number.isNaN() / Number.isFinite(),Number validation,JAVASCRIPT,Data Types,Core,Number.isNaN(value),Better than global isNaN which coerces
parseInt() / parseFloat(),String to number,JAVASCRIPT,Data Types,Core,parseInt(str; 10),Always specify radix (10) for parseInt
.toFixed(),Format decimal places,JAVASCRIPT,Data Types,Core,price.toFixed(2),Returns string; use for display only
get / set,Class getters and setters,JAVASCRIPT,OOP,Core,get name() { return this._name; },Use for computed properties; prefix private with _
static,Static class members,JAVASCRIPT,OOP,Core,static getInstance() { },Called on class not instance; use for utilities
#privateField,Private class field,JAVASCRIPT,OOP,Advanced,class User { #password; },True privacy; not accessible outside class
globalThis,Universal global object,JAVASCRIPT,Variables,Advanced,globalThis.fetch,Works in browser and Node.js environments
Symbol(),Create unique identifier,JAVASCRIPT,Data Types,Advanced,const id = Symbol("id"),Guaranteed unique; use for object keys
Proxy / Reflect,Object interception,JAVASCRIPT,OOP,Advanced,new Proxy(target; handler),Intercept operations; use for validation/logging
generator function*,Generator function,JAVASCRIPT,Functions,Advanced,function* gen() { yield 1; yield 2; },Pausable functions; great for iterators
ngOnChanges(),Lifecycle - input changes,ANGULAR,Functions,Core,ngOnChanges(changes: SimpleChanges): void {},Called when @Input properties change; check changes.prop
ngAfterViewInit(),Lifecycle - view ready,ANGULAR,Functions,Core,ngAfterViewInit(): void { this.chart.render(); },DOM and child views initialized; use for DOM manipulation
ngAfterContentInit(),Lifecycle - content projected,ANGULAR,Functions,Advanced,ngAfterContentInit(): void {},ng-content projected; access ContentChildren here
@ViewChild(),Query single element/component,ANGULAR,OOP,Core,@ViewChild("myInput") inputEl!: ElementRef,Available after ngAfterViewInit
@ViewChildren(),Query multiple elements,ANGULAR,OOP,Advanced,@ViewChildren(ItemComponent) items!: QueryList<ItemComponent>,QueryList is live; changes observable
@HostListener(),Listen to host events,ANGULAR,OOP,Core,@HostListener("window:resize") onResize() {},Use for document/window events on directive
@HostBinding(),Bind to host property,ANGULAR,OOP,Advanced,@HostBinding("class.active") isActive = false,Bind host element class/attribute to property
ChangeDetectionStrategy.OnPush,Optimize change detection,ANGULAR,OOP,Core-N,changeDetection: ChangeDetectionStrategy.OnPush,Only check on input changes; major performance gain
of(),Create Observable from value,ANGULAR,Functions,Core,of([]); of(null),Synchronous emit; use for fallback values
forkJoin(),Wait for all Observables,ANGULAR,Functions,Core,forkJoin([obs1$; obs2$]).subscribe(([r1; r2]) => {}),All must complete; like Promise.all
combineLatest(),Combine latest values,ANGULAR,Functions,Core-N,combineLatest([a$; b$]).pipe(map(([a; b]) => a + b)),Emits when any source emits; needs initial values
debounceTime(),Delay emission by time,ANGULAR,Functions,Core,searchInput$.pipe(debounceTime(300)),Essential for search inputs; prevents API spam
distinctUntilChanged(),Skip duplicate emissions,ANGULAR,Functions,Core,input$.pipe(distinctUntilChanged()),Combine with debounceTime for search patterns
tap(),Side effects in pipe,ANGULAR,Functions,Core,pipe(tap(x => console.log(x))),Debugging; don't mutate data in tap
finalize(),Cleanup on complete/error,ANGULAR,Functions,Core,pipe(finalize(() => this.loading = false)),Always runs; use for loading states
startWith(),Emit initial value first,ANGULAR,Functions,Core,data$.pipe(startWith([])),Prevent empty template until async completes
